Name,Description,HazmatClass
UN0133,"Mannitol hexanitrate, wetted or Nitromannite, wetted with not less than 40 percent water, or mixture of alcohol and water, by mass",1.1D
UN0135,"Mercury fulminate, wetted with not less than 20 percent water, or mixture of alcohol and water, by mass",1.1A
UN0136,Mines with bursting charge,1.1F
UN0137,Mines with bursting charge,1.1D
UN0138,Mines with bursting charge,1.2D
UN0143,"Nitroglycerin, desensitized with not less than 40 percent non-volatile water insoluble phlegmatizer, by mass",1.1D
UN0144,"Nitroglycerin, solution in alcohol, with more than 1 percent but not more than 10 percent nitrogylcerin",1.1D
UN0146,"Nitrostarch, dry or wetted with less than 20 percent water, by mass",1.1D
UN0147,Nitro urea,1.1D
UN0150,"Pentaerythrite tetranitrate, wetted or Pentaerythritol tetranitrate, wetted, or PETN, wetted with not less than 25 percent water, by mass, or Pentaerythrite tetranitrate, or Pentaerythritol tetranitrate or PETN, desensitized with not less than 15 percent phlegmatizer by mass",1.1D
UN0151,"Pentolite, dry or wetted with less than 15 percent water, by mass",1.1D
UN0153,Trinitroaniline or Picramide,1.1D
UN0154,"Trinitrophenol or Picric acid, dry or wetted with less than 30 percent water, by mass",1.1D
UN0155,Trinitrochlorobenzene or Picryl chloride,1.1D
UN0159,"Powder cake, wetted or Powder paste, wetted with not less than 25 percent water, by mass",1.3C
UN0160,"Powder, smokeless",1.1C
UN0161,"Powder, smokeless",1.3C
UN0167,"Projectiles, with bursting charge",1.1F
UN0168,"Projectiles, with bursting charge",1.1D
UN0169,"Projectiles, with bursting charge",1.2D
UN0171,"Ammunition, illuminating with or without burster, expelling charge or propelling charge",1.2G
UN0173,"Release devices, explosive",1.4S
UN0174,"Rivets, explosive",1.4S
UN0180,"Rockets, with bursting charge",1.1F
UN0181,"Rockets, with bursting charge",1.1E
UN0182,"Rockets, with bursting charge",1.2E
UN0183,"Rockets, with inert head",1.3C
UN0186,Rocket motors,1.3C
UN0190,"Samples, explosive, other than initiating explosives ",1.3
UN0191,"Signal devices, hand",1.4G
UN0192,"Signals, railway track, explosive",1.1G
UN0193,"Signals, railway track, explosive",1.4S
UN0194,"Signals, distress, ship",1.1G
UN0195,"Signals, distress, ship",1.3G
UN0196,"Signals, smoke",1.1G
UN0197,"Signals, smoke",1.4G
UN0204,"Sounding devices, explosive",1.2F
UN0207,Tetranitroaniline,1.1D
UN0208,Trinitrophenylmethylnitramine or Tetryl,1.1D
UN0209,"Trinitrotoluene or TNT, dry or wetted with less than 30 percent water, by mass",1.1D
UN0212,Tracers for ammunition,1.3G
UN0213,Trinitroanisole,1.1D
UN0214,"Trinitrobenzene, dry or wetted with less than 30 percent water, by mass",1.1D
UN0215,"Trinitrobenzoic acid, dry or wetted with less than 30 percent water, by mass",1.1D
UN0216,Trinitro-meta-cresol,1.1D
UN0217,Trinitronaphthalene,1.1D
UN0218,Trinitrophenetole,1.1D
UN0219,"Trinitroresorcinol or Styphnic acid, dry or wetted with less than 20 percent water, or mixture of alcohol and water, by mass",1.1D
UN0220,"Urea nitrate, dry or wetted with less than 20 percent water, by mass",1.1D
UN0221,"Warheads, torpedo with bursting charge",1.1D
UN0222,"Ammonium nitrate, with more than 0.2 percent combustible substances, including any organic substance calculated as carbon, to the exclusion of any other added substance",1.1D
UN0224,"Barium azide, dry or wetted with less than 50 percent water, by mass",1.1A
UN0225,Boosters with detonator,1.1B
UN0226,"Cyclotetramethylenetetranitramine, wetted or HMX, wetted or Octogen, wetted with not less than 15 percent water, by mass",1.1D
UN0234,"Sodium dinitro-o-cresolate, dry or wetted with less than 15 percent water, by mass",1.3C
UN0235,"Sodium picramate, dry or wetted with less than 20 percent water, by mass",1.3C
UN0236,"Zirconium picramate, dry or wetted with less than 20 percent water, by mass",1.3C
UN0237,"Charges, shaped, flexible, linear",1.4D
UN0238,"Rockets, line-throwing",1.2G
UN0240,"Rockets, line-throwing",1.3G
UN0241,"Explosive, blasting, type E",1.1D
UN0242,"Charges, propelling, for cannon",1.3C
UN0243,"Ammunition, incendiary, white phosphorus, with burster, expelling charge or propelling charge",1.2H
UN0244,"Ammunition, incendiary, white phosphorus, with burster, expelling charge or propelling charge",1.3H
UN0245,"Ammunition smoke, white phosphorus with burster,expelling charge, or propelling charge",1.2H
UN0246,"Ammunition, smoke, white phosphorus with burster, expelling charge, or propelling charge",1.3H
UN0247,"Ammunition, incendiary liquid or gel, with burster, expelling charge or propelling charge",1.3J
UN0248,"Contrivances, water-activated, with burster, expelling charge or propelling charge",1.2L
UN0249,"Contrivances, water-activated, with burster, expelling charge or propelling charge",1.3L
UN0250,Rocket motors with hypergolic liquids with or without an expelling charge,1.3L
UN0254,"Ammunition, illuminating with or without burster, expelling charge or propelling charge",1.3G
UN0255,"Detonators, electric, for blasting",1.4B
UN0257,"Fuzes, detonating",1.4B
UN0266,"Octolite or Octol, dry or wetted with less than 15 percent water, by mass",1.1D
UN0267,"Detonators, non-electric, for blasting",1.4B
UN0268,Boosters with detonator,1.2B
UN0271,"Charges, propelling",1.1C
UN0272,"Charges, propelling",1.3C
UN0275,"Cartridges, power device",1.3C
UN0276,"Cartridges, power device",1.4C
UN0277,"Cartridges, oil well",1.3C
UN0278,"Cartridges, oil well",1.4C
UN0279,"Charges, propelling, for cannon",1.1C
UN0280,Rocket motors,1.1C
UN0281,Rocket motors,1.2C
UN0282,"Nitroguanidine or Picrite, dry or wetted with less than 20 percent water, by mass",1.1D
UN0283,"Boosters, without detonator",1.2D
UN0284,"Grenades, hand or rifle, with bursting charge",1.1D
UN0285,"Grenades, hand or rifle, with bursting charge",1.2D
UN0286,"Warheads, rocket with bursting charge",1.1D
UN0287,"Warheads, rocket with bursting charge",1.2D
UN0288,"Charges, shaped, flexible, linear",1.1D
UN0289,"Cord, detonating, flexible",1.4D
UN0290,"Cord, detonating or Fuse, detonating metal clad",1.1D
UN0291,"Bombs, with bursting charge",1.2F
UN0292,"Grenades, hand or rifle, with bursting charge",1.1F
UN0293,"Grenades, hand or rifle, with bursting charge",1.2F
UN0294,Mines with bursting charge,1.2F
UN0295,"Rockets, with bursting charge",1.2F
UN0296,"Sounding devices, explosive",1.1F
UN0297,"Ammunition, illuminating with or without burster, expelling charge or propelling charge",1.4G
UN0299,"Bombs, photo-flash",1.3G
UN0300,"Ammunition, incendiary with or without burster, expelling charge or propelling charge",1.4G
UN0301,"Ammunition, tear-producing with burster, expelling charge or propelling charge",1.4G
UN0303,"Ammunition, smoke with or without burster, expelling charge or propelling charge",1.4G
UN0305,Flash powder,1.3G
UN0306,Tracers for ammunition,1.4G
UN0312,"Cartridges, signal",1.4G
UN0313,"Signals, smoke",1.2G
UN0314,Igniters,1.2G
UN0315,Igniters,1.3G
UN0316,"Fuzes, igniting",1.3G
UN0317,"Fuzes, igniting",1.4G
UN0318,"Grenades, practice, Hand or rifle",1.3G
UN0319,"Primers, tubular",1.3G
UN0320,"Primers, tubular",1.4G
UN0321,"Cartridges for weapons, with bursting charge",1.2E
UN0322,Rocket motors with hypergolic liquids with or without an expelling charge,1.2L
UN0323,"Cartridges, power device",1.4S
UN0324,"Projectiles, with bursting charge",1.2F
UN0325,Igniters,1.4G
UN0326,"Cartridges for weapons, blank",1.1C
UN0327,"Cartridges for weapons, blank or Cartridges, small arms, blank",1.3C
UN0328,"Cartridges for weapons, inert projectile",1.2C
UN0329,Torpedoes with bursting charge,1.1E
UN0330,Torpedoes with bursting charge,1.1F
UN0331,"Explosive, blasting, type B or Agent blasting, Type B",1.5D
UN0332,"Explosive, blasting, type E or Agent blasting, Type E",1.5D
UN0333,Fireworks,1.1G
UN0334,Fireworks,1.2G
UN0335,Fireworks,1.3G
UN0336,Fireworks,1.4G
UN0337,Fireworks,1.4S
UN0338,"Cartridges for weapons, blank or Cartridges, small arms, blank",1.4C
UN0339,"Cartridges for weapons, inert projectile or Cartridges, small arms",1.4C
UN0340,"Nitrocellulose, dry or wetted with less than 25 percent water (or alcohol), by mass",1.1D
UN0341,"Nitrocellulose, unmodified or plasticized with less than 18 percent plasticizing substance, by mass",1.1D
UN0342,"Nitrocellulose, wetted with not less than 25 percent alcohol, by mass",1.3C
UN0343,"Nitrocellulose, plasticized with not less than 18 percent plasticizing substance, by mass",1.3C
UN0344,"Projectiles, with bursting charge",1.4D
UN0345,"Projectiles, inert with tracer",1.4S
UN0346,"Projectiles, with burster or expelling charge",1.2D
UN0347,"Projectiles, with burster or expelling charge",1.4D
UN0348,"Cartridges for weapons, with bursting charge",1.4F
UN0349,"Articles, explosive, n.o.s.",1.4S
UN0350,"Articles, explosive, n.o.s.",1.4B
UN0351,"Articles, explosive, n.o.s.",1.4C
UN0352,"Articles, explosive, n.o.s.",1.4D
UN0353,"Articles, explosive, n.o.s.",1.4G
UN0354,"Articles, explosive, n.o.s.",1.1L
UN0355,"Articles, explosive, n.o.s.",1.2L
UN0356,"Articles, explosive, n.o.s.",1.3L
UN0357,"Substances, explosive, n.o.s.",1.1L
UN0358,"Substances, explosive, n.o.s.",1.2L
UN0359,"Substances, explosive, n.o.s.",1.3L
UN0360,"Detonator assemblies, non-electric for blasting",1.1B
UN0361,"Detonator assemblies, non-electric, for blasting",1.4B
UN0362,"Ammunition, practice",1.4G
UN0363,"Ammunition, proof",1.4G
UN0364,Detonators for ammunition,1.2B
UN0365,Detonators for ammunition,1.4B
UN0366,Detonators for ammunition,1.4S
UN0367,"Fuzes, detonating",1.4S
UN0368,"Fuzes, igniting",1.4S
UN0369,"Warheads, rocket with bursting charge",1.1F
UN0370,"Warheads, rocket with burster or expelling charge",1.4D
UN0371,"Warheads, rocket with burster or expelling charge",1.4F
UN0372,"Grenades, practice, Hand or rifle",1.2G
UN0373,"Signal devices, hand",1.4S
UN0374,"Sounding devices, explosive",1.1D
UN0375,"Sounding devices, explosive",1.2D
UN0376,"Primers, tubular",1.4S
UN0377,"Primers, cap type",1.1B
UN0378,"Primers, cap type",1.4B
UN0379,"Cases, cartridges, empty with primer",1.4C
UN0380,"Articles, pyrophoric",1.2L
UN0381,"Cartridges, power device",1.2C
UN0382,"Components, explosive train, n.o.s.",1.2B
UN0383,"Components, explosive train, n.o.s.",1.4B
UN0384,"Components, explosive train, n.o.s.",1.4S
UN0385,5-Nitrobenzotriazol,1.1D
UN0386,Trinitrobenzenesulfonic acid,1.1D
UN0387,Trinitrofluorenone,1.1D
UN0388,Trinitrotoluene and Trinitrobenzene mixtures or TNT and trinitrobenzene mixtures or TNT and hexanitrostilbene mixtures or Trinitrotoluene and hexanitrostilnene mixtures,1.1D
UN0389,Trinitrotoluene mixtures containing Trinitrobenzene and Hexanitrostilbene or TNT mixtures containing trinitrobenzene and hexanitrostilbene,1.1D
UN0390,Tritonal,1.1D
UN0391,"RDX and HMX mixtures, wetted with not less than 15 percent water by mass or RDX and HMX mixtures, desensitized with not less than 10 percent phlegmatizer by mass",1.1D
UN0392,Hexanitrostilbene,1.1D
UN0393,Hexotonal,1.1D
UN0394,"Trinitroresorcinol, wetted or Styphnic acid, wetted with not less than 20 percent water, or mixture of alcohol and water by mass",1.1D
UN0395,"Rocket motors, liquid fueled",1.2J
UN0396,"Rocket motors, liquid fueled",1.3J
UN0397,"Rockets, liquid fueled with bursting charge",1.1J
UN0398,"Rockets, liquid fueled with bursting charge",1.2J
UN0399,"Bombs with flammable liquid, with bursting charge",1.1J
UN0400,"Bombs with flammable liquid, with bursting charge",1.2J
UN0401,"Dipicryl sulfide, dry or wetted with less than 10 percent water, by mass",1.1D
UN0402,Ammonium perchlorate,1.1D
UN0403,"Flares, aerial",1.4G
UN0404,"Flares, aerial",1.4S
UN0405,"Cartridges, signal",1.4S
UN0406,Dinitrosobenzene,1.3C
UN0407,Tetrazol-1-acetic acid,1.4C
UN0408,"Fuzes, detonating, with protective features",1.1D
UN0409,"Fuzes, detonating, with protective features",1.2D
UN0410,"Fuzes, detonating, with protective features",1.4D
UN0411,"Pentaerythrite tetranitrate or Pentaerythritol tetranitrate or PETN, with not less than 7 percent wax by mass",1.1D
UN0412,"Cartridges for weapons, with bursting charge",1.4E
UN0413,"Cartridges for weapons, blank",1.2C
UN0414,"Charges, propelling, for cannon",1.2C
UN0415,"Charges, propelling",1.2C
UN0417,"Cartridges for weapons, inert projectile or Cartridges, small arms",1.3C
UN0418,"Flares, surface",1.1G
UN0419,"Flares, surface",1.2G
UN0420,"Flares, aerial",1.1G
UN0421,"Flares, aerial",1.2G
UN0424,"Projectiles, inert, with tracer",1.3G
UN0425,"Projectiles, inert, with tracer",1.4G
UN0426,"Projectiles, with burster or expelling charge",1.2F
UN0427,"Projectiles, with burster or expelling charge",1.4F
UN0428,"Articles, pyrotechnic for technical purposes",1.1G
UN0429,"Articles, pyrotechnic for technical purposes",1.2G
UN0430,"Articles, pyrotechnic for technical purposes",1.3G
UN0431,"Articles, pyrotechnic for technical purposes",1.4G
UN0432,"Articles, pyrotechnic for technical purposes",1.4S
UN0433,"Powder cake, wetted or Powder paste, wetted with not less than 17 percent alcohol by mass",1.1C
UN0434,"Projectiles, with burster or expelling charge",1.2G
UN0435,"Projectiles, with burster or expelling charge",1.4G
UN0436,"Rockets, with expelling charge",1.2C
UN0437,"Rockets, with expelling charge",1.3C
UN0438,"Rockets, with expelling charge",1.4C
UN0439,"Charges, shaped, without detonator",1.2D
UN0440,"Charges, shaped, without detonator",1.4D
UN0441,"Charges, shaped, without detonator",1.4S
UN0442,"Charges, explosive, commercial without detonator",1.1D
UN0443,"Charges, explosive, commercial without detonator",1.2D
UN0444,"Charges, explosive, commercial without detonator",1.4D
UN0445,"Charges, explosive, commercial without detonator",1.4S
UN0446,"Cases, combustible, empty, without primer",1.4C
UN0447,"Cases, combustible, empty, without primer",1.3C
UN0448,5-Mercaptotetrazol-1-acetic acid,1.4C
UN0449,"Torpedoes, liquid fueled, with or without bursting charge",1.1J
UN0450,"Torpedoes, liquid fueled, with inert head",1.3J
UN0451,Torpedoes with bursting charge,1.1D
UN0452,Grenades practice Hand or rifle,1.4G
UN0453,"Rockets, line-throwing",1.4G
UN0454,Igniters,1.4S
UN0455,"Detonators, non-electric, for blasting",1.4S
UN0456,"Detonators, electric for blasting",1.4S
UN0457,"Charges, bursting, plastics bonded",1.1D
UN0458,"Charges, bursting, plastics bonded",1.2D
UN0459,"Charges, bursting, plastics bonded",1.4D
UN0460,"Charges, bursting, plastics bonded",1.4S
UN0461,"Components, explosive train, n.o.s.",1.1B
UN0462,"Articles, explosive, n.o.s.",1.1C
UN0463,"Articles, explosive, n.o.s.",1.1D
UN0464,"Articles, explosive, n.o.s.",1.1E
UN0465,"Articles, explosive, n.o.s.",1.1F
UN0466,"Articles, explosive, n.o.s.",1.2C
UN0467,"Articles, explosive, n.o.s.",1.2D
UN0468,"Articles, explosive, n.o.s.",1.2E
UN0469,"Articles, explosive, n.o.s.",1.2F
UN0470,"Articles, explosive, n.o.s.",1.3C
UN0471,"Articles, explosive, n.o.s.",1.4E
UN0472,"Articles, explosive, n.o.s.",1.4F
UN0473,"Substances, explosive, n.o.s.",1.1A
UN0474,"Substances, explosive, n.o.s.",1.1C
UN0475,"Substances, explosive, n.o.s.",1.1D
UN0476,"Substances, explosive, n.o.s.",1.1G
UN0477,"Substances, explosive, n.o.s.",1.3C
UN0478,"Substances, explosive, n.o.s.",1.3G
UN0479,"Substances, explosive, n.o.s.",1.4C
UN0480,"Substances, explosive, n.o.s.",1.4D
UN0481,"Substances, explosive, n.o.s.",1.4S
UN0482,"Substances, explosive, very insensitive, n.o.s., or Substances, EVI, n.o.s.",1.5D
UN0483,"Cyclotrimethylenetrinitramine, desensitized or Cyclonite, desensitized or Hexogen, desensitized or RDX, desensitized",1.1D
UN0484,"Cyclotetramethylenetetranitramine, desensitized or Octogen, desensitized or HMX, desensitized",1.1D
UN0485,"Substances, explosive, n.o.s.",1.4G
UN0486,"Articles, explosive, extremely insensitive or Articles, EEI",1.6N
UN0487,"Signals, smoke",1.3G
UN0488,"Ammunition, practice",1.3G
UN0489,Dinitroglycoluril or Dingu,1.1D
UN0490,Nitrotriazolone or NTO,1.1D
UN0491,"Charges, propelling",1.4C
UN0492,"Signals, railway track, explosive",1.3G
UN0493,"Signals, railway track, explosive",1.4G
UN0494,"Jet perforating guns, charged, oil well, without detonator",1.4D
UN0495,"Propellant, liquid",1.3C
UN0496,Octonal,1.1D
UN0497,"Propellant, liquid",1.1C
UN0498,"Propellant, solid",1.1C
UN0499,"Propellant, solid",1.3C
UN0500,"Detonator, assemblies, non-electric for blasting",1.4S
UN0501,"Propellant, solid",1.4C
UN0502,"Rockets, with inert head",1.2C
UN0503,"Air bag inflators, or Air bag modules, or Seat-belt pretensioners",1.4G
UN0504,1H-Tetrazole,1.1D
UN0505,"Signals, distress, ship",1.4G
UN0506,"Signals, distress, ship",1.4S
UN0507,"Signals, smoke",1.4S
UN0508,"1-Hydroxybenzotriazole, anhydrous, dry or wetted with less than 20 percent water, by mass",1.3C
UN0509,"Powder, smokeless",1.4C
UN1001,"Acetylene, dissolved",2.1
UN1002,"Air, compressed",2.2
UN1003,"Air, refrigerated liquid, (cryogenic liquid)",2.2
UN1003,"Air, refrigerated liquid, (cryogenic liquid) non-pressurized",2.2
UN1005,"Ammonia, anhydrous",2.2
UN1005,"Ammonia, anhydrous",2.3
UN1006,"Argon, compressed",2.2
UN1008,Boron trifluoride,2.3
UN1009,"Bromotrifluoromethane or Refrigerant gas, R 13B1.",2.2
UN1010,"Butadienes, stabilized or Butadienes and Hydrocarbon mixture, stabilized, containing more than 40% butadienes",2.1
UN1011,"Butane see also Petroleum gases, liquefied",2.1
UN1012,"Butylene see also Petroleum gases, liquefied",2.1
UN1013,Carbon dioxide,2.2
UN1016,"Carbon monoxide, compressed",2.3
UN1017,Chlorine,2.3
UN1018,Chlorodifluoromethane or Refrigerant gas R 22,2.2
UN1020,Chloropentafluoroethane or Refrigerant gas R 115,2.2
UN1021,"1-Chloro-1,2,2,2-tetrafluoroethane or  Refrigerant gas R 124",2.2
UN1022,Chlorotrifluoromethane or Refrigerant gas R 13,2.2
UN1023,"Coal gas, compressed",2.3
UN1026,Cyanogen,2.3
UN1027,Cyclopropane,2.1
UN1028,Dichlorodifluoromethane or Refrigerant gas R 12,2.2
UN1029,Dichlorofluoromethane or Refrigerant gas R21,2.2
UN1030,"1,1-Difluoroethane or Refrigerant gas R 152a",2.1
UN1032,"Dimethylamine, anhydrous",2.1
UN1033,Dimethyl ether,2.1
UN1035,Ethane,2.1
UN1036,Ethylamine,2.1
UN1037,Ethyl chloride,2.1
UN1038,"Ethylene, refrigerated liquid (cryogenic liquid)",2.1
UN1039,Ethyl methyl ether,2.1
UN1040,Ethylene oxide or Ethylene oxide with nitrogen up to a total pressure of 1MPa (10 bar) at 50 degrees C,2.3
UN1041,Ethylene oxide and carbon dioxide mixtures with more than 9 percent but not more than 87 percent ethylene oxide,2.1
UN1043,Fertilizer ammoniating solution with free ammonia,2.2
UN1044,Fire extinguishers containing compressed or liquefied gas,2.2
UN1045,"Fluorine, compressed",2.3
UN1046,"Helium, compressed",2.2
UN1048,"Hydrogen bromide, anhydrous",2.3
UN1049,"Hydrogen, compressed",2.1
UN1050,"Hydrogen chloride, anhydrous",2.3
UN1051,"Hydrogen cyanide, stabilized with less than 3 percent water",6.1
UN1052,"Hydrogen fluoride, anhydrous",8
UN1053,Hydrogen sulfide,2.3
UN1055,"Isobutylene see also Petroleum gases, liquefied",2.1
UN1056,"Krypton, compressed",2.2
UN1057,Lighter refills containing flammable gas not exceeding 4 fluid ounces (7.22 cubic inches) and 65 grams of flammable gas,2.1
UN1057,Lighters containing flammable gas,2.1
UN1058,"Liquefied gases, non-flammable charged with nitrogen, carbon dioxide or air",2.2
UN1060,"Methyl acetylene and propadiene mixtures, stabilized",2.1
UN1061,"Methylamine, anhydrous",2.1
